date,week,start_time,pair_number,plot,treatment,humidity,cloud_cover,temperature_C,wind_min,wind_max,plant,pollinator,sex_queen_worker,num_total_visits,num_unique_observations,observer,notes,date_entered,keep_remove,original_name_entered,,plant,pollinator
13-Jul-17,week_2,10:15,10,10_5,control,0.53,0.4,22.1,1.3,1.8,potentilla_gracilis,andrena_birtwelli,NA,3,1,rgd,NA,20-Jul-17,keep,andrena_birtwelli,,,
14-Jul-17,week_2,9:35,7,7_6,removal,0.508,0.4,21.5,2.2,2.8,potentilla_gracilis,andrena_cyanophila,NA,1,1,rgd,"Originally labeled as B3; ""collected andrena, larger than birtwelli with orange tip""",21-Jul-17,keep,andrena_cyanophila,,,
10-Jul-17,week_2,15:50,6,6_7,control,0.4,0.6,28.5,1.2,1.6,helianthella_quinquenervis,arctophila_flagrans,NA,1,1,jab,NA,20-Jul-17,keep,arctophila_flagrans,,,
10-Jul-17,week_2,15:05,7,7_9,control,0.323,1,23.5,0.8,1.2,helianthella_quinquenervis,arctophila_flagrans,NA,1,1,jab,NA,20-Jul-17,keep,arctophila_flagrans,,,
10-Jul-17,week_2,8:55,10,10_5,control,0.4,0.02,22.4,1.8,2.8,vicia_americana,bombus_appositus,worker,1,1,jab,NA,19-Jul-17,keep,bombus_appositus,,,
10-Jul-17,week_2,10:10,8,8_20,control,0.345,0.05,23.4,3,3.7,helianthella_quinquenervis,bombus_appositus,queen,2,2,rgd,NA,19-Jul-17,keep,bombus_appositus,,,
10-Jul-17,week_2,9:20,3,3_13,removal,0.6,0.05,20.5,0.9,1.6,vicia_americana,bombus_appositus,worker,4,1,jab,NA,19-Jul-17,keep,bombus_appositus,,,
11-Jul-17,week_2,13:20,5,5_17,removal,0.395,0.5,23.7,0.9,2,potentilla_gracilis,bombus_appositus,worker,4,2,jab,NA,19-Jul-17,keep,bombus_appositus,,,
10-Jul-17,week_2,10:55,7,7_6,removal,0.58,0.07,24.8,2,2.8,vicia_americana,bombus_appositus,worker,3,1,jab,NA,19-Jul-17,keep,bombus_appositus,,,
10-Jul-17,week_2,10:55,7,7_6,removal,0.58,0.07,24.8,2,2.8,potentilla_gracilis,bombus_appositus,worker,8,1,jab,NA,19-Jul-17,keep,bombus_appositus,,,
10-Jul-17,week_2,15:05,7,7_6,removal,0.323,1,23.5,0.8,1.2,vicia_americana,bombus_appositus,worker,5,2,rgd,NA,19-Jul-17,keep,bombus_appositus,,,
10-Jul-17,week_2,15:50,6,6_7,control,0.4,0.6,28.5,1.2,1.6,vicia_americana,bombus_appositus,worker,1,1,jab,NA,20-Jul-17,keep,bombus_appositus,,,
10-Jul-17,week_2,16:30,8,8_20,control,0.266,0.5,26.2,1,2.2,vicia_americana,bombus_appositus,worker,16,2,jab,NA,20-Jul-17,keep,bombus_appositus,,,
10-Jul-17,week_2,16:10,3,3_13,removal,0.335,0.5,26.5,2,4.2,vicia_americana,bombus_appositus,queen,1,1,jab,NA,20-Jul-17,keep,bombus_appositus,,,
10-Jul-17,week_2,16:10,3,3_13,removal,0.335,0.5,26.5,2,4.2,vicia_americana,bombus_appositus,worker,9,2,jab,NA,20-Jul-17,keep,bombus_appositus,,,
10-Jul-17,week_2,15:50,6,6_8,removal,0.4,0.6,28.5,1.2,1.6,vicia_americana,bombus_appositus,worker,9,1,rgd,NA,20-Jul-17,keep,bombus_appositus,,,
13-Jul-17,week_2,9:10,7,7_6,removal,0.693,0.2,15.4,0,0,vicia_americana,bombus_appositus,worker,6,1,rgd,NA,20-Jul-17,keep,bombus_appositus,,,
13-Jul-17,week_2,14:20,7,7_6,removal,0.557,0.9,18.7,2.7,4.1,vicia_americana,bombus_appositus,worker,8,1,rgd,NA,20-Jul-17,keep,bombus_appositus,,,
13-Jul-17,week_2,11:45,8,8_10,removal,0.47,0.8,22,1.3,1.7,potentilla_gracilis,bombus_appositus,worker,11,1,jab,NA,20-Jul-17,keep,bombus_appositus,,,
13-Jul-17,week_2,12:30,8,8_10,removal,0.479,0.95,20.7,3.7,5.2,vicia_americana,bombus_appositus,worker,3,1,jab,NA,20-Jul-17,keep,bombus_appositus,,,
14-Jul-17,week_2,8:55,5,5_14,control,0.601,0.1,19.3,1,1.9,delphinium_barbeyi,bombus_appositus,worker,3,1,jab,NA,21-Jul-17,keep,bombus_appositus,,,
14-Jul-17,week_2,9:35,7,7_6,removal,0.508,0.4,21.5,2.2,2.8,vicia_americana,bombus_appositus,queen,9,1,rgd,NA,21-Jul-17,keep,bombus_appositus,,,
10-Jul-17,week_2,8:55,10,10_5,control,0.4,0.02,22.4,1.8,2.8,helianthella_quinquenervis,bombus_bifarius,worker,2,1,jab,NA,19-Jul-17,keep,bombus_bifarius,,,
10-Jul-17,week_2,14:05,2,2_3,control,0.26,0.6,25.2,6,8.6,helianthella_quinquenervis,bombus_bifarius,worker,2,1,rgd,NA,19-Jul-17,keep,bombus_bifarius,,,
10-Jul-17,week_2,15:25,4,4_16,control,0.324,0.9,24.6,2.5,3.7,helianthella_quinquenervis,bombus_bifarius,worker,7,2,rgd,NA,19-Jul-17,keep,bombus_bifarius,,,
10-Jul-17,week_2,14:45,5,5_14,control,0.45,0.9,23,1.6,3.3,vicia_americana,bombus_bifarius,worker,3,1,rgd,NA,19-Jul-17,keep,bombus_bifarius,,,
10-Jul-17,week_2,10:55,7,7_9,control,0.58,0.07,24.8,2,2.8,potentilla_gracilis,bombus_bifarius,worker,3,1,rgd,NA,19-Jul-17,keep,bombus_bifarius,,,
10-Jul-17,week_2,11:40,9,9_15,control,0.304,0.2,28.6,1.3,2.5,potentilla_gracilis,bombus_bifarius,worker,2,1,rgd,NA,19-Jul-17,keep,bombus_bifarius,,,
11-Jul-17,week_2,14:45,10,10_11,removal,0.36,0.7,23,3.5,8,potentilla_gracilis,bombus_bifarius,worker,7,1,jab,NA,19-Jul-17,keep,bombus_bifarius,,,
